2,3,100,3
3,1,100,3
4,2,100,3
5,1,100,10
6,2,100,15
7,1,100,15
8,3,100,3
9,1,100,3
10,2,100,3
11,1,100,10
12,2,100,15
13,1,100,15
14,3,100,15
15,5,100,18
16,3,100,18
17,1,100,18
18,1,100,1
19,3,100,1
20,2,100,1
21,1,100,2
22,1,100,8
23,1,100,14
24,2,100,14
25,1,100,12
26,2,100,22
27,3,100,22
28,1,100,22
29,3,100,20
30,1,100,23
31,2,100,23
32,2,100,6
33,1,100,25
34,5,100,4
35,1,100,4
36,5,50,22
37,2,184,27
38,3,96,27
40,1,40,27
41,2,100,26
42,3,100,28
43,5,100,12
44,1,100,29
45,3,100,29
46,6,100,29
47,1,100,30
48,2,100,30
49,3,100,30
50,4,100,30
51,5,100,30
52,6,100,30
53,1,100,31
54,2,100,31
55,3,100,31
56,4,100,31
57,5,100,31
58,6,100,31
59,5,10,3
63,1,100,35
64,2,100,35
65,4,100,35
66,5,100,35
67,1,100,36
68,4,100,36
69,6,100,36
70,1,100,37
71,4,100,37
72,6,100,37
73,10,50,36
74,1,100,38
75,4,100,38
76,1,100,39
77,4,100,39
78,10,100,40
79,1,100,40
80,5,100,40
81,4,100,40
82,2,100,40
83,3,100,40
84,6,100,40
85,2,100,10
86,1,100,41
87,2,100,41
88,3,100,41
89,6,100,41
