1,2023-03-06 11:38:56,34,5, 4,1,50,30
2,2023-03-06 11:40:23,34,1, 9,1,123,60
3,2023-03-06 17:30:58,34,1, 9,1,12,30
4,2023-03-06 17:31:03,34,1, 9,1,5,18
5,2023-03-06 19:54:15,21,3, 1,1,3,0
6,2023-03-06 20:01:14,21,1, 9,1,3,0
7,2023-03-10 13:21:33,34,1, 9,1,10,0
8,2023-03-10 13:21:38,34,1, 10,1,10,0
9,2023-03-10 13:21:43,34,1, 7,1,10,0
11,2023-03-10 13:21:50,34,1, 9,1,10,0
12,2023-03-10 13:21:53,34,1, 10,1,10,0
13,2023-03-10 13:22:18,21,1, 9,1,10,0
14,2023-03-10 13:22:21,21,1, 10,1,10,0
15,2023-03-10 13:22:24,21,1, 7,1,10,0
17,2023-03-10 13:22:30,21,1, 9,1,10,0
18,2023-03-10 13:22:33,21,1, 10,1,10,0
19,2023-03-15 12:02:26,34,2, 3,1,5,0
20,2023-03-17 11:29:26,54,1, 9,1,669,0
21,2023-03-17 18:17:29,36,1, 9,1,8,0
22,2023-03-17 18:17:35,36,1, 9,1,8,0
23,2023-03-17 18:18:02,36,1, 9,1,0,0
24,2023-03-17 18:18:09,36,1, 9,1,0,0
25,2023-03-17 18:19:04,36,1, 9,1,0,0
